200;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 10, Dom Parafialny Lokalnej Polskiej Misji Katolickiej w Ilford;2 Ashgrove Road;Goodmayers, Ilford IG3 9XE;51.5648501;0.108739
201;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Slough, Lokalna Polska Misja Katolicka w Slough;48 Pitts Road;Slough SL1 3XH;51.5146977;-0.6133862
202;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Southampton, Polski Klub;507 Portswood Road;Southampton, SO17 2TH;50.9293281;-1.3852538
203;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Birmingham 1, Klub Polski Millenium House;Bordesley Street;Birmingham B5 5PH;52.4792077;-1.8905233
204;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Birmingham 2, Klub Polski Millenium House;Bordesley Street;Birmingham, B5 5PH;52.4792077;-1.8905233
205;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Bristol, Dom Parafialny im. Jana Pawła II;2 Arley Hill;Bristol BS6 5PS;51.4658156;-2.591532
206;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Cambridge, Dom Polonia;231 Chesterton Road;Cambridge CB4 1AS;52.2155655;0.1307153
207;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Coventry, Dom Parafialny The Presbytery;Springfield Road;Coventry CV1 4GR;52.41703520000001;-1.5065803
208;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Northampton, Polski Klub w Northampton;Craven Street;Northampton NN1 3EZ;52.2440517;-0.8921254999999999
209;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Manchester, Konsulat Generalny RP;51 Portland Street;Manchester M1 3LD;53.478232;-2.2389658
210;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Manchester, Ośrodek Polski przy Parafii Miłosierdzia Bożego;196 Lloyd Street North;Manchester M14 4QB;53.4585005;-2.2362442
211;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Leeds, Polskie Centrum;Newton Hill Road;Leeds LS7 4JE;53.823665;-1.5313475
212;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Nottingham, Ośrodek Polski przy Parafii Matki Bożej Częstochowskiej;2 Sherwood Rise;Nottingham NG7 6JN;52.9726412;-1.159978
213;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Spalding, Polskie Centrum Edukacji;2 Abbey Path;Spalding PE11 1AY;52.7861424;-0.1521423
214;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Cardiff, Dom Polski;174 Newport Road;Cardiff CF24 1DL;51.4885144;-3.1584473
215;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Leicester, Ośrodek Polski przy Parafii Świętego Pawła;Wakerley Road;Leicester LE5 4WD;52.6279669;-1.0879865
216;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Newcastle upon Tyne, Ośrodek Polski przy Parafii Matki Bożej Częstochowskiej;2 Maple Terrace;Newcastle upon Tyne NE4 7SF;54.9671033;-1.6308655
217;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Newcastle upon Tyne, Carnegie Building;Atkinson Road, Benwell;Newcastle upon Tyne NE4 8XS;54.9699859;-1.6610963
218;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Edynburg I, Konsulat Generalny RP;2 Kinnear Road;Edinburgh EH3 5PE;55.9680846;-3.2180273
219;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Edynburg II, Dom SPK;11 Drummond Place;Edinburgh EH3 6 PJ;55.9579356;-3.1965663
220;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Edynburg III, Dom SPK;11 Drummond Place;Edinburgh EH3 6 PJ;55.9579356;-3.1965663
221;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Aberdeen, Polish Association;35A Union Street;Aberdeen AB11 5BN;57.1471005;-2.0958186
222;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Glasgow I, Dom Sikorskiego;5 Parkgrove Terrace;Glasgow G3 7SD;55.8669028;-4.2846942
223;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Glasgow II, Dom Sikorskiego;5 Parkgrove Terrace;Glasgow G3 7SD;55.8669028;-4.2846942
224;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Belfast I, Chinese Welfare Association;1 Stranmillis Embankment;Belfast BT7 1GB;54.5819544;-5.9262988
225;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Belfast II, Chinese Welfare Association;1 Stranmillis Embankment;Belfast BT7 1GB;54.5819544;-5.9262988
226;Socjalistyczna Republika Wietnamu K;Hanoi, Ambasada RP;5 Bà Huyện Thanh Quan;Ba Đình, Hà Nội;21.034613;105.8357847
227;Republika Włoska K;Rzym, Ambasada RP,;Via Pietro Paolo Rubens 20,;00197 Roma;41.9236907;12.4755409
228;Republika Włoska K;Mediolan, Konsulat Generalny RP;Via Monte Rosa 6;20149 Milano;45.4716998;9.1536423
